Transaction_id,date_of_transaction,quantity_sold,customerid,productid
1,7/23/2018,7,544,47
2,3/16/2023,33,492,131
3,1/29/2014,42,553,9
4,1/16/2017,7,54,221
5,8/25/2020,21,361,228
6,4/19/2013,6,423,294
7,1/30/2019,40,128,175
8,1/28/2024,37,319,91
9,12/16/2012,8,78,129
10,1/5/2022,45,526,104
11,7/10/2019,32,182,192
12,12/28/2020,7,242,100
13,9/30/2019,24,339,82
14,6/12/2020,47,76,286
15,4/11/2016,12,177,79
16,1/20/2014,6,37,157
17,7/4/2018,1,278,141
18,4/13/2018,33,420,3
19,12/14/2018,4,277,128
20,9/18/2012,16,331,207
21,9/11/2021,27,376,114
22,1/23/2024,30,516,36
23,2/15/2016,7,289,283
24,5/24/2020,43,310,234
25,2/9/2013,28,188,159
26,9/29/2014,39,373,242
27,11/26/2011,47,543,120
28,12/6/2014,8,238,99
29,2/4/2019,38,349,14
30,6/27/2019,12,548,193
31,12/18/2012,42,236,241
32,9/18/2016,33,204,274
33,10/14/2010,47,15,80
34,2/12/2021,17,259,270
35,9/23/2019,2,140,178
36,9/21/2017,49,420,164
37,8/12/2016,12,509,133
38,6/23/2018,14,163,89
39,7/20/2010,11,280,48
40,11/6/2011,20,225,195
41,10/14/2018,47,6,246
42,2/9/2024,39,568,211
43,5/31/2020,23,379,168
44,1/25/2017,37,41,246
45,12/19/2018,39,323,193
46,7/6/2015,24,95,85
47,9/2/2020,8,267,123
48,3/9/2024,47,52,96
49,5/3/2017,2,402,240
50,9/13/2015,13,223,186
51,1/12/2011,21,530,155
52,11/6/2014,7,396,146
53,9/22/2011,32,333,26
54,11/10/2018,13,584,228
55,1/11/2012,29,366,115
56,2/27/2024,3,452,9
57,4/5/2016,13,435,260
58,11/25/2017,40,83,287
59,12/19/2011,36,413,198
60,7/18/2012,21,566,162
61,12/7/2017,25,596,116
62,5/20/2010,37,369,216
63,11/17/2020,12,316,230
64,10/26/2018,46,121,190
65,12/20/2022,49,542,256
66,3/17/2017,40,259,27
67,10/5/2010,47,266,163
68,10/7/2021,19,398,117
69,5/31/2022,47,104,48
70,6/20/2018,22,133,102
71,12/10/2010,13,413,213
72,9/14/2012,15,317,91
73,3/5/2022,25,17,131
74,2/4/2015,19,295,81
75,10/11/2011,18,574,250
76,1/3/2010,41,28,250
77,7/23/2013,45,509,167
78,8/16/2019,17,510,130
79,5/24/2022,9,101,176
80,7/15/2010,35,435,271
81,2/15/2020,41,127,173
82,5/25/2021,36,264,247
83,3/9/2012,29,183,204
84,10/6/2020,15,458,157
85,6/28/2014,16,496,160
86,4/5/2020,26,305,196
87,5/6/2011,35,452,77
88,5/25/2022,31,476,220
89,2/12/2012,7,563,120
